Index,codigo_1,codigo_2
30416,7406180,811111
30417,1819119,485111
30417,1688802,485111
30417,8282486,485111
30417,1728640,485111
30417,1729018,485111
30417,9041427,485111
30417,8991057,485111
30417,9301844,485111
30417,9331411,485111
30417,9331212,485111
30417,9328421,485111
30417,9328414,485111
30417,9328477,485111
30417,9331428,485111
30417,9328467,485111
30417,9328470,485111
30417,9328396,485111
30417,9331268,485111
30417,9331217,485111
30417,9328438,485111
30417,9331205,485111
30417,9237543,485111
30417,9328469,485111
30417,9328410,485111
30417,9328425,485111
30417,9328496,485111
30417,9331216,485111
30421,1659611,722519
30425,8787236,541610
30426,6281267,434211
30426,6329588,434211
30426,6779593,327410
30426,6337741,434211
30426,6337699,434211
30426,6337121,434211
30426,6339423,434211
30426,6358437,434211
30426,6362984,434211
30430,1639551,325310
30430,6727499,325310
30430,7770117,434111
30431,8405712,435313
30433,1639554,541610
30434,1703121,465112
30439,1869894,434221
30441,6810124,435311
30442,1652916,722511
30443,1656054,323119
30443,8910636,322220
30443,9269648,541810
30443,8738340,541810
30445,8901765,316212
30445,8694200,316213
30445,6338358,316212
30449,1830431,468112
30450,9109771,561520
30450,6800779,561510
30451,3640843,468211
30453,1830432,327991
30456,8691427,434211
30459,2774605,323119
30461,6209869,435412
30463,6721918,517910
30464,2063905,332710
30464,8447556,464111
30464,2829620,464111
30464,6211907,464111
30464,8987278,464111
30464,2780613,464111
30464,2824288,464111
30464,2829225,464111
30464,2787490,464111
30464,6210082,464111
30464,6211851,464111
30464,2824287,621511
30464,8343988,621511
30464,6211905,621511
30464,6211904,621111
30466,2771828,722511
30471,2773539,463111
30473,2783400,467113
30473,7950472,467113
30475,2783149,515110
30476,6316602,721111
30476,6260479,721112
30476,6724125,721111
30476,8419604,722411
30476,6361269,721111
30476,6361513,721111
30481,6268551,435419
30483,8447022,811113
30485,7802088,466212
30485,8746449,466212
30485,6697715,466212
30485,8344129,466212
30485,9049184,466212
30485,9314613,466212
30485,8344156,466212
30485,2824460,466212
30485,2779504,466212
30485,8980938,466212
30485,9276417,517910
30485,6706941,466212
30485,8628588,517910
30488,2779645,621113
30489,6905379,323119
30489,49460,434311
30489,36339,465915
